id,descrption,img_url,url,brand,price,color,text_repr,img_repr
0,Def Leppard 1983 Tour T-Shirt Dress,https://s7d5.scene7.com/is/image/UrbanOutfitters/56775687_011_b?$xlarge$&fit=constrain&qlt=80&wid=640,https://www.urbanoutfitters.com/shop/def-leppard-1983-tour-t-shirt-dress?category=womens-clothing&color=011,urban outfitter,$39.00,Ivory,,
1,Def Leppard 1983 Tour T-Shirt Dress,https://s7d5.scene7.com/is/image/UrbanOutfitters/56775687_011_b?$xlarge$&fit=constrain&qlt=80&wid=640,https://www.urbanoutfitters.com/shop/def-leppard-1983-tour-t-shirt-dress?category=womens-clothing&color=011,urban outfitter,$39.00,Ivory,,
